host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
15627138,Yolanda,2014-05-17,"Málaga, Spain",within an hour,t,4
92675932,Juan Manuel,2016-08-30,"Málaga, Spain",within an hour,t,11
17442243,Ruth,2014-06-30,"Málaga, Spain",Unknown,f,1
287080736,Marilo,2019-08-19,Unknown,within an hour,f,1
47987493,Susana,2015-11-02,Spain,within a few hours,f,1
236036982,Javier,2019-01-12,Unknown,within an hour,f,2
167423027,Simon,2018-01-12,"Bordeaux, France",within a few hours,f,2
351627407,Malagatravelbook,2020-06-24,"Andalusia, Spain",within a few hours,f,6
123888413,Maria,2017-04-02,"Málaga, Spain",within an hour,f,2
408550696,Pilar,2021-06-22,"Málaga, Spain",within an hour,f,1
237538909,Laura,2019-01-19,"Málaga, Spain",within a few hours,f,1
36623206,Moussa,2015-06-24,"Quebec City, Canada",within an hour,Unknown,2
18135145,Lorena,2014-07-15,"Andalusia, Spain",within a few hours,f,3
90468597,Manuela,2016-08-17,"Seville, Spain",within a few hours,f,1
244482777,Karim,2019-02-21,"Málaga, Spain",within an hour,f,6
544534450,Acentos,2023-11-02,"Málaga, Spain",within an hour,f,2
270538488,Jose Luis,2019-06-22,"Granada, Spain",within a few hours,f,1
539848760,Isabel,2023-10-01,"Málaga, Spain",within an hour,f,1
166615091,Tamara,2018-01-08,"Málaga, Spain",within an hour,f,1
144781837,Fran,2017-08-07,"Málaga, Spain",within an hour,f,1
431609001,Elena,2021-11-12,"Málaga, Spain",within an hour,f,2
139381128,Bárbara & Jose,2017-07-09,"Málaga, Spain",within an hour,t,1
16814815,David,2014-06-15,"Hamburg, Germany",Unknown,f,2
519740356,Doña Elvira,2023-06-13,Unknown,within an hour,t,9
9744958,Ana,2013-10-31,"Andalusia, Spain",within an hour,Unknown,9
285670200,Holidu,2019-08-14,"Madrid, Spain",within an hour,f,395
140786801,Fina,2017-07-16,"Málaga, Spain",within an hour,f,3
580912694,Salvador Jesus,2024-06-01,Unknown,within an hour,f,1
36028127,Ra,2015-06-17,Spain,within an hour,t,1
87521946,Belén,2016-08-02,"Andalusia, Spain",within an hour,f,1
335529877,Anna,2020-02-12,"Sofia, Bulgaria",within an hour,t,1
30037359,Marina,2015-03-26,"Vélez-Málaga, Spain",within an hour,f,1
9291498,Antonio,2013-10-07,"Málaga, Spain",within an hour,t,3
572588377,Yelitza Carolina,2024-04-16,"Granada, Spain",within an hour,f,1
435062791,María,2021-12-07,Unknown,within an hour,f,2
10128593,Alex,2013-11-19,"Andalusia, Spain",within an hour,t,3
225115878,Eva,2018-11-10,"Málaga, Spain",Unknown,t,1
355048356,Refugio Del Sol,2020-07-09,"Andalusia, Spain",within an hour,f,3
254355468,Luca,2019-04-09,"Málaga, Spain",within an hour,f,3
70900862,Gabriela,2016-05-08,"Málaga, Spain",within an hour,t,1
139369249,Cristina,2017-07-09,"Málaga, Spain",within an hour,f,2
228835060,Malaga Planners,2018-12-03,"Málaga, Spain",within an hour,f,24
129080443,Ana Y Juan,2017-05-06,"Málaga, Spain",within an hour,t,1
472006592,Francisco Javier,2022-07-28,Unknown,Unknown,f,3
121458759,Maribel,2017-03-19,"Málaga, Spain",within an hour,t,2
28348074,Cobertizo Del Conde,2015-02-25,"Marbella, Spain",within an hour,f,10
1360230,Maria,2011-11-01,"Málaga, Spain",within an hour,f,2
570912032,Claudio,2024-04-06,"Málaga, Spain",within an hour,f,1
348103438,Matias,2020-05-30,Unknown,within an hour,f,2
256165583,Veronique Didier,2019-04-16,"Tangier, Morocco",within an hour,t,4
54320020,Alberto,2016-01-12,"Barcelona, Spain",within an hour,f,3
31130279,Zeljko,2015-04-13,"Málaga, Spain",within an hour,f,2
505475629,Antonio,2023-03-15,"Málaga, Spain",within an hour,t,2
5344810,Brian,2013-03-06,"Benalmádena, Spain",within an hour,f,9
54603830,Berny García,2016-01-14,"Málaga, Spain",within an hour,t,5
466065426,Andrew,2022-06-25,Unknown,within an hour,f,1
482664742,Holidu,2022-10-07,"Munich, Germany",within an hour,f,586
246147185,Peter,2019-03-01,Unknown,within an hour,Unknown,3
14157344,Nicolas,2014-04-11,"Andalusia, Spain",within an hour,f,5
101418638,Margarita,2016-10-26,"Málaga, Spain",within an hour,f,43
8689293,Sara,2013-09-07,"Málaga, Spain",within an hour,t,3
178602766,Yasmin Siham,2018-03-15,"Málaga, Spain",within an hour,t,1
5985179,Dani,2013-04-18,"Geneva, Switzerland",within a few hours,f,1
3764491,Alicia,2012-10-05,"Andalusia, Spain",within a few hours,f,2
561298016,Giancarlo,2024-02-10,Unknown,within an hour,f,2
24988780,Fred,2014-12-19,"Morteau, France",within a few hours,t,2
150854518,Malaga,2017-09-16,Unknown,within an hour,f,1
444002011,Adrian,2022-02-07,Unknown,within an hour,t,1
10432518,Seb,2013-12-04,"Málaga, Spain",within an hour,Unknown,3
134874534,José Carlos,2017-06-13,"Lucena, Spain",within a day,f,1
2092252,Juliette,2012-04-08,"Málaga, Spain",within an hour,f,17
283758972,Oumayma,2019-08-07,"Málaga, Spain",within an hour,t,6
82260994,Trinidad,2016-07-07,"Málaga, Spain",within an hour,t,1
216766404,Mariela,2018-09-22,"Málaga, Spain",within an hour,t,2
570526657,Andrea,2024-04-04,"Málaga, Spain",within an hour,f,1
476242112,Crystal,2022-08-22,"Málaga, Spain",within an hour,f,2
537227396,Rosario,2023-09-15,Unknown,within an hour,f,1
172860748,Jorge,2018-02-11,"Málaga, Spain",within an hour,t,1
